Item,Database,Description,Example values,History scenarios,Mobile equivalent,Order,Saving scenarios,Specs,Status,Tag,Type,Web equivalent
SOURCE_TEXT,Favourites - Web,Source text of the favourite. Original search,show,,searchText (https://app.notion.com/p/searchText-381313861826800caa47f87fa0b30aa1?pvs=21),2.3,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),Max 2000 chars,On prod,Always,String,
SOURCE_CONTEXT,Favourites - Web,Context source example where SOURCE_TEXT is found,The <em>show</em> must go on.,,sourceText (https://app.notion.com/p/sourceText-3813138618268017adefe074f6873f2d?pvs=21),3.1,"From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21), From Define result page (https://app.notion.com/p/From-Define-result-page-3803138618268072a3bbf288daa9956c?pvs=21), Creating editorial list (https://app.notion.com/p/Creating-editorial-list-3833138618268022a07aeffb72d5f9c6?pvs=21), From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21)",Max 2000 chars,On prod,Example,String,
NUSER_ID,History - web,User ID of the owner,58275634,,,9.1,,,On prod,,Integer,
HASH,History - web,Internal value to identify the history entry on interface (to be removed in the future),b15747bcc7621cc80ed12329a5d8fd90,,,,,Max 2000 chars,On prod,,String,
SOURCE_LANG,Lists,Source language of the favourite,en,,,,,2 chars,NA,,String,
SHARING,Lists,Status of the list: hidden by the owner OR shared by the owner OR composed and approved by us,,,,,,"‘private’, ‘public’ or ‘indexed’",NA,,Variable,
LIST_NAME,Lists,"Name of the list - automatically set by us or by the creator ","EN Favorites ",,,,,"min 3, max 50 chars",NA,,String,
TARGET_CONTEXT,Favourites - Web,Context target example that should be translation of SOURCE_CONTEXT.,El <em>espectáculo</em> debe continuar.,,targetText (https://app.notion.com/p/targetText-38131386182680b9a097f8374f54922c?pvs=21),3.2,"From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21), Creating editorial list (https://app.notion.com/p/Creating-editorial-list-3833138618268022a07aeffb72d5f9c6?pvs=21), From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21)",Max 2000 chars,On prod,Example,String,
SOURCE_LANG,Favourites - Web,Source language of the favourite,en,,sourceLanguage (https://app.notion.com/p/sourceLanguage-38131386182680c58644c0915d35c930?pvs=21),2.1,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),Max 10 chars,On prod,Always,String,
TARGET_LANG,Favourites - Web,Target language of the favourite,es,,targetLanguage (https://app.notion.com/p/targetLanguage-38131386182680c9ad25f8a2b2bbd35d?pvs=21),2.2,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),Max 10 chars,On prod,Always,String,
CREATION_DATE,Favourites - Web,When the favourite was added,2017-04-12 15:05:13,,createdAt (https://app.notion.com/p/createdAt-38131386182680479738d461b4c28892?pvs=21),1.1,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),,On prod,ID,Date,
REMOVED,Favourites - Web,If the favorite was removed or not.,False,,isRemoved (https://app.notion.com/p/isRemoved-381313861826800fb94cd071f1eff8f9?pvs=21),,,,On prod,Editing,Boolean,
TARGET_TEXT_EDITED,Favourites - Web,,espectáculo → show,,,,,Max 2000 chars,On prod,Editing,String,
DOCUMENT_TITLE,Favourites - Web,Mainly used by extension. Title of the document where the favourite was marked.,"Away  S1:E3  Half the Sky

theguardian.com",,,5.2,Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),Max 200 chars,On prod,Read/Watch,String,
DOCUMENT,Favourites - Web,Mainly used by extension. URL where the favourite was marked,"https://www.netflix.com/watch/80243605

https://www.theguardian.com/us-news/2023/aug/01/donald-trump-charged-2020-election",,,5.3,Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),Max 2000 chars,On prod,Read/Watch,String,
SOURCE_SEGMENT,Favourites - Web,Mainly used by extension. Sentence that contains the SOURCE_TEXT.,"For a bit of gentle debunking, consider: The self-charging electric bike: fact or fiction?",,,5.1,Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),Max 2000 chars,On prod,Read/Watch,String,
SOURCE,Favourites - Web,"Device where the favourite was marked:
0: Context web
1: Mobile app
2: Reader extension
3: Chrome extension
4: Desktop app",0,,,2.6,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),,On prod,Always,Integer,
TARGET_TEXT,Favourites - Web,"Translation added as favourite. In Context, from filtered translation or the first highlight in the target context",espectáculo,,serverTargetText (https://app.notion.com/p/serverTargetText-381313861826801e87c4d8b70a40a761?pvs=21),2.4,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),Max 2000 chars,On prod,Always,String,
COMMENT,Favourites - Web,"User’s comment about the entry. 

Also used for storing the 2nd and 3rd translation of the search when marked as Favourite from History.","mostrar, enseñar",,comment (https://app.notion.com/p/comment-38131386182680f6bb50f97c423a66cf?pvs=21),4.5,From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21),Max 2000 chars,On prod,Optional,String,
DOMAIN,Favourites - Web,"Linguistic domain. 

Currently not used. There was a task started for this in the past",business,,,,,Max 200 chars,Not used,Other,String,
HISTORY_ID,Favourites - Web,"ID of the entry in History table if the favourite was marked from History

Question: who is using this field?",2158245,,,,From History (https://app.notion.com/p/From-History-38131386182680a69899eeedd8c0faf1?pvs=21),,On prod,Other,Integer,
LAST_EDIT,Favourites - Web,Automatic value. Last time the favourite was edited.,2017-04-12 15:05:13,,modifiedAt (https://app.notion.com/p/modifiedAt-3813138618268082acc0d769aa6d75c2?pvs=21),,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),,On prod,Editing,Date,
WORDCOUNT,Favourites - Web,"Number of words of the SOURCE_TEXT

Question: who is using this field?",1,,,,,,On prod,Other,Integer,
FAVTYPE,Favourites - Web,"Origin of the favourite:
-blank-: Context
syn: Synonyms
mt: Machine translation
ctx-genai: term generated with AI
def, def-genai: term containing a defintion, possibly ai generated 

see inside the page itself for much more info.",-,,favType (https://app.notion.com/p/favType-38131386182680d79f94fa12a20e3e10?pvs=21),2.5,"From Define result page (https://app.notion.com/p/From-Define-result-page-3803138618268072a3bbf288daa9956c?pvs=21), From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21), From MT result page (https://app.notion.com/p/From-MT-result-page-3833138618268014858adeb0ee1a118e?pvs=21), From Synonyms result page (https://app.notion.com/p/From-Synonyms-result-page-38331386182680568d89fb606041bf90?pvs=21)",Max 10 chars,On prod,Always,String,
BACKGROUND_COLOR,Lists,Color of the list’s cover background (background for emoji),607D8B,,,,,6 characters color code,NA,,String,
EMOJI,Lists,Unicode of emoji that is used as the cover of a list,U+1F600,,,,,unicode chars,NA,,String,
ID,Lists,ID of the list,2938498,,,,,7 digits,NA,,Integer,
SOURCE_TEXT,History - web,Source text of the history entry. Original search,cabeza,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),sourceText (https://app.notion.com/p/sourceText-38331386182680b1ab36e31e0dc09cf7?pvs=21),1.1,,Max 2000 chars,On prod,,String,
TARGET_TEXT,History - web,Translation added as favourite. Currently not used. Probably to be used to store MT target text if we start saving this,head,,,,,Max 2000 chars,Not used,,String,
SOURCE_LANG,History - web,Source language of the history entry,en,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),sourceLang (https://app.notion.com/p/sourceLang-383313861826805aaa98c3e332436a41?pvs=21),1.5,,Max 10 chars,On prod,,String,
TARGET_LANG,History - web,Target language of the history entry,es,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),targetLang (https://app.notion.com/p/targetLang-38331386182680b38856f8cd45344f18?pvs=21),1.6,,Max 10 chars,On prod,,String,
CREATION_DATE,History - web,When the History entry was added,2017-04-12 15:05:13,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),createdAt (https://app.notion.com/p/createdAt-38331386182680b9a301def6ad669f3d?pvs=21),2.1,,,On prod,,Date,
PRIORITY,History - web,TO BE REMOVED,,,,,,,NA,,Integer,
REMOVED,History - web,Whether the History entry was removed or not.,False,,isRemoved (https://app.notion.com/p/isRemoved-383313861826805681f7c66aaed535e3?pvs=21),3.3,,,On prod,,Boolean,
STATUS,History - web,"Type of results given by the search:
0: not found (default)
1: partially found
2: exact results in the original search
3: found without translation",0,,status (https://app.notion.com/p/status-38331386182680f7bed7db2ff2672d23?pvs=21),8.1,,,On prod,,Integer,
TRANSLATION1,History - web,First translation of SOURCE_TEXT,head,"From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21), From Define result page (https://app.notion.com/p/From-Define-result-page-3803138618268072a3bbf288daa9956c?pvs=21)",,1.2,,Max 100,On prod,,String,
TRANSLATION2,History - web,Second translation of SOURCE_TEXT,mind,From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21),,1.3,,Max 100,On prod,,String,
TRANSLATION3,History - web,Third translation of SOURCE_TEXT,lead,From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21),,1.4,,Max 100,On prod,,String,
WORDCOUNT,History - web,Number of words of the SOURCE_TEXT,1,,,4.2,,,On prod,,Integer,
SOURCE_CONTEXT,History - web,Source sentence where SOURCE_TEXT is found,"La Familia Real, aliviada al ver que Froilán va sentando la cabeza tras dejar las armas de fuego por las armas blancas",Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),,5.1,,Max 2000 chars,On prod,,String,
DOCUMENT_TITLE,History - web,Mainly used by extension. Title of the document where the History entry was marked.,elmundotoday.com,Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),,5.2,,Max 200 chars,On prod,,String,
DOCUMENT,History - web,Mainly used by extension. URL where the History entry was marked,https://www.elmundotoday.com/2022/12/la-familia-real-aliviada-al-ver-que-froilan-va-asentando-la-cabeza-tras-dejar-las-armas-de-fuego-por-las-armas-blancas/,Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),,5.3,,Max 2000 chars,On prod,,String,
SOURCE,History - web,"Device where the History entry was marked:
0: Context web
1: Mobile app
2: Chrome extension
3: Reader extension
4: Desktop app
5: Define web",2,,source (https://app.notion.com/p/source-38331386182680bb828af4e55df3c566?pvs=21),4.3,,,On prod,,Integer,
COMMENT,History - web,User’s comment about the entry,“This is a translation a want to learn”,,,3.1,,Max 2000,On prod,,String,
SOURCE_SENTENCE,History - web,"“Smart suggestion” that is mainly used by extension. Sentence, which is a superstring with meaning that contains the SOURCE_TEXT.",sentando la cabeza,Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),,6.1,,Max 2000,On prod,,String,
SOURCE_SENTENCE_TRANSLATION1,History - web,First translation fo SOURCE_SENTENCE,settling down,Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),,6.2,,Max 100,On prod,,String,
SOURCE_SENTENCE_TRANSLATION2,History - web,Second translation fo SOURCE_SENTENCE,,Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),,6.3,,Max 100,On prod,,String,
SOURCE_SENTENCE_TRANSLATION3,History - web,Third translation fo SOURCE_SENTENCE,,Reading / Wathing (https://app.notion.com/p/Reading-Wathing-38031386182680ba8a14d76b80fc7af3?pvs=21),,6.4,,Max 100,On prod,,String,
HISTTYPE,History - web,"Origin of the History entry:
-blank-: Context
syn: Synonyms
mt: Machine translation",-,"From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21), From Define result page (https://app.notion.com/p/From-Define-result-page-3803138618268072a3bbf288daa9956c?pvs=21), From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21)",histType (https://app.notion.com/p/histType-38331386182680ffbaf8e05b0000e406?pvs=21),4.1,,Max 10 chars,On prod,,String,
TARGET_LANG,Lists,Target language of the favourite,fr,,,,,2 chars,NA,,String,
DIFFICULTY,Lists,Difficulty of the list (only for ‘indexed’ lists that are created and approved on Reverso’s side),,,,,,"‘beginner’, ‘intermediate’ or ‘advanced’",NA,,Variable,
NUSER_ID,Lists,User ID of the list’s owner,58275634,,,,,,NA,,Integer,
CREATION_DATE,Lists,Timestamp when the list was created,2017-04-12 15:05:13,,,,,,NA,,Date,
LAST_EDIT_DATE,Lists,Timestamp when the list was last modified,2017-04-12 15:05:13,,,,,,NA,,Date,
REMOVED,Lists,If the list was deleted or not,,,,,,,NA,,Boolean,
FAVOURITE_ID,Favourites - MultiLists,References the word from the user favourites,,,,1,,,NA,,Integer,
LIST_ID,Favourites - MultiLists,References the list the word appears in,,,,2,,,NA,,Integer,
SOURCE_POS,Favourites - Web,"POS for source term
see more below in the https://app.notion.com/p/DOC-Saving-Favorites-History-DBQuestions-db21075253fb4e13a0031dcd55169737?pvs=21 section.","adj, nm, nfpl, v",,sourcePos (https://app.notion.com/p/sourcePos-3813138618268001afc4e5ff81798741?pvs=21),4.1,"From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21), From Define result page (https://app.notion.com/p/From-Define-result-page-3803138618268072a3bbf288daa9956c?pvs=21), Creating editorial list (https://app.notion.com/p/Creating-editorial-list-3833138618268022a07aeffb72d5f9c6?pvs=21), From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21)",Max 30 chars,On prod,Optional,String,
TARGET_POS,Favourites - Web,"POS for source term
see more below in the https://app.notion.com/p/DOC-Saving-Favorites-History-DBQuestions-db21075253fb4e13a0031dcd55169737?pvs=21 section.","adj, nm, nfpl, v",,targetPos (https://app.notion.com/p/targetPos-381313861826801dbcd6ddf9dc3f34d6?pvs=21),4.2,"From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21), Creating editorial list (https://app.notion.com/p/Creating-editorial-list-3833138618268022a07aeffb72d5f9c6?pvs=21)",Max 30 chars,On prod,Optional,String,
SOURCE_TEXT,Learn - Web,Source term,surreptitious,,searchText (https://app.notion.com/p/searchText-c49716bd68d1443d81647024a17cbb56?pvs=21),1.3,,"Max  250 chars

right now we have 24 on mobile, must be extended to 250 for regular flashcards",NA,,String,
TARGET_LIST,Learn - Web,the Context Translation Result response from bst-query-service,,,translationsList (https://app.notion.com/p/translationsList-aef7b5e823684822bdaa57bb3116eab4?pvs=21),1.4,,Text LOB,NA,,Transformable,translationsList (https://app.notion.com/p/translationsList-aef7b5e823684822bdaa57bb3116eab4?pvs=21)
EXAMPLES_LIST,Learn - Web,"(6 first examples in mobile app from History and only 1 from Favourites) for every card generated from reverse or suggestion, we save the examples.
  - the values are from bst-query-service json under “list” key",,,examplesList (https://app.notion.com/p/examplesList-6ec8fdf2d1d14b9985ac8555c0b5b6d1?pvs=21),1.5,,"Text LOB

Saves pairs of source and target examples as a list",NA,,Transformable,examplesList (https://app.notion.com/p/examplesList-6ec8fdf2d1d14b9985ac8555c0b5b6d1?pvs=21)
SOURCE_LANG,Learn - Web,source language for the text,,,sourceLanguage (https://app.notion.com/p/sourceLanguage-de33691317984247b94b08f2b972654a?pvs=21),1.1,,Max 10 chars,NA,,String,sourceLanguage (https://app.notion.com/p/sourceLanguage-de33691317984247b94b08f2b972654a?pvs=21)
TARGET_LANG,Learn - Web,target language for the text,,,targetLanguage (https://app.notion.com/p/targetLanguage-a1d595a8c1ef409b9d6f440ea488cab2?pvs=21),1.2,,Max 10 chars,NA,,String,targetLanguage (https://app.notion.com/p/targetLanguage-a1d595a8c1ef409b9d6f440ea488cab2?pvs=21)
FIRST_SEEN_DATE,Learn - Web,Date a flashcard was first seen,,,firstSeenDate (https://app.notion.com/p/firstSeenDate-6075b54c546d49a8b7da40ca6adfbd3e?pvs=21),2.1,,,NA,,Date,firstSeenDate (https://app.notion.com/p/firstSeenDate-6075b54c546d49a8b7da40ca6adfbd3e?pvs=21)
LAST_SEEN_DATE,Learn - Web,Date a flashcard was last seen,,,lastSeenDate (https://app.notion.com/p/lastSeenDate-1d3574c43c2c47a2b843df874bce4ca1?pvs=21),2.2,,,NA,,Date,lastSeenDate (https://app.notion.com/p/lastSeenDate-1d3574c43c2c47a2b843df874bce4ca1?pvs=21)
TIMES_SEEN,Learn - Web,number of times a flashcard was seen,,,countNumberOfTimes (https://app.notion.com/p/countNumberOfTimes-0145f93936c745ef998b99abacab022c?pvs=21),2.3,,,NA,,Integer,
SRS_COUNTER,Learn - Web,keep track of cards marked as Memorized,"0, 1, 2, 3, 4",,isReadyToMemorize (https://app.notion.com/p/isReadyToMemorize-59da72ecf3824610befb7c1f03861a44?pvs=21),3.1,,,NA,,Integer,countNumberOfTimes (https://app.notion.com/p/countNumberOfTimes-0145f93936c745ef998b99abacab022c?pvs=21)
LAST_STATUS,Learn - Web,Last status of a Flashcard,"Yes, No or Partially (integer!). “Partially” = “in progress”",,lastStatus (https://app.notion.com/p/lastStatus-b4951ff5dec641f79a4238728000a8f9?pvs=21),3.2,,"ENUM(’CORRECT’,’INCORRECT’,’PARTIALLY’)",NA,,Enum,lastStatus (https://app.notion.com/p/lastStatus-b4951ff5dec641f79a4238728000a8f9?pvs=21)
MEMORIZED,Learn - Web,Boolean to display the card in Memorized section even if it is reused,True / False,,wasMemorized (https://app.notion.com/p/wasMemorized-a87630a608b440e0a8f13cadc77ac844?pvs=21),3.3,,,NA,,Boolean,wasMemorized (https://app.notion.com/p/wasMemorized-a87630a608b440e0a8f13cadc77ac844?pvs=21)
CLASSIFICATION,Learn - Web,"Indicates whether a card is deleted, should be ignore or should be prioritized from games","ignore, deleted, priority, default",,"excludedFromQuiz (https://app.notion.com/p/excludedFromQuiz-18131386182680c2a10ee0a9f41a014e?pvs=21), isIgnored (https://app.notion.com/p/isIgnored-8950a09c2d2344a78f6e45c746fa503f?pvs=21), cardPriority (https://app.notion.com/p/cardPriority-b040836814ae4de6b92c896a54e1d554?pvs=21)",3.4,,"ENUM(’DEFAULT’,’PRIORITY’,’IGNORED’)

ignored → the user explicitly don’t want to learn this term anymore
deleted → the favorite related to this term was deleted by the user → still show in stats, not in new quiz
priority → learn this term in priority",NA,,Enum,excludedFromQuiz (https://app.notion.com/p/excludedFromQuiz-18131386182680c2a10ee0a9f41a014e?pvs=21)
SOURCE,Learn - Web,"Indicates whether a card was added from history or favorites or none of it. Here we save if an item is added from history or favorites (or none of it). ","history, favorite",,source (https://app.notion.com/p/source-29c1255112a840abbaca35a7b07ea6c1?pvs=21),1.6,,"ENUM(’UNKNOWN’,’HISTORY’,’FAVOURITES’)

It’s taken into account when, for example, user changes the strategy and wants to play favorites only. Among all “in progress” cards, only “source: favorites” will appear in the game",NA,,Enum,source (https://app.notion.com/p/source-29c1255112a840abbaca35a7b07ea6c1?pvs=21)
TYPE,Learn - Web,"Type of card: 
- Definition
- Context
- MT
…","mt, def, syn, ctx",,cardType (https://app.notion.com/p/cardType-1813138618268068b433d787a5022ec8?pvs=21),1.7,,Max 10 chars,NA,,String,
FAVOURITE_ID,Learn - Web,Id of the favorite if the word is in the user’s favorites,,,,1.8,,,NA,,Integer,
ID,Learn - Web,Identifier of the card,"1, 2, 3…",,,1.0,,,NA,,Long,
NUSER_ID,Learn - Web,User identifier,"1, 2, 3…",,,1.0,,,NA,,Long,
cardType,Learn - Mobile,"Type of card (context, definitions, etc.)","Context, Definition, MT, Synonyms",,,4.2,,,NA,,Integer,TYPE (https://app.notion.com/p/TYPE-17b3138618268075b8d9dc80aa392898?pvs=21)
excludedFromQuiz,Learn - Mobile,"If entries are not suitable for Quiz, they should be tagged as true her (Ex. definitions, context duplicates, …)",isExcludedFromQuiz = 0;,,CLASSIFICATION (https://app.notion.com/p/CLASSIFICATION-17b313861826800190cecacf5c455f1d?pvs=21),4.3,,,NA,,Boolean,CLASSIFICATION (https://app.notion.com/p/CLASSIFICATION-17b313861826800190cecacf5c455f1d?pvs=21)
TARGET_TEXT,Learn - Web,Only the first element of Translation List,,,translationsList (https://app.notion.com/p/translationsList-aef7b5e823684822bdaa57bb3116eab4?pvs=21),1.3,,Max 250 chars,NA,,String,
